"InvoiceID","PayerAccountId","LinkedAccountId","RecordType","RecordId","ProductName","RateId","SubscriptionId","PricingPlanId","UsageType","Operation","AvailabilityZone","ReservedInstance","ItemDescription","UsageStartDate","UsageEndDate","UsageQuantity","Rate","Cost","ResourceId"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585836","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000061","0.0000000000","0.00000000","i-cc46e1f1"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396861661103808934585837","Amazon Elastic Compute Cloud","913751","13630969","205266","APS2-DataTransfer-In-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - data transfer in per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000059","0.0000000000","0.00000000","i-fe13aec2"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396880107847882644245142","Amazon Elastic Compute Cloud","913864","13630969","205266","APS2-DataTransfer-Out-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - first 1 GB of data transferred out per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00012258","0.0000000000","0.00000000","i-2295251e"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396880107847882644245143","Amazon Elastic Compute Cloud","913864","13630969","205266","APS2-DataTransfer-Out-Bytes","RunInstances","ap-southeast-2b","N","$0.000 per GB - first 1 GB of data transferred out per month","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00013939","0.0000000000","0.00000000","i-b6ef318b"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396548066454555872206478","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00055027","0.0100000000","0.00000550","i-22da6e1f"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396548066454555872206479","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00063328","0.0100000000","0.00000633","i-3edc5d03"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396548066454555872206480","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00029803","0.0100000000","0.00000298","i-4513da78"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396548066454555872206481","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00004380","0.0100000000","0.00000044","i-59c70864"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396548066454555872206482","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.00000154","0.0100000000","0.00000002","i-b6ef318b"
"32473150","XXXXXXXXXXXXXX","XXXXXXXXXXXXXX","LineItem","10396548066454555872206483","Amazon Elastic Compute Cloud","913770","13630969","205266","APS2-DataTransfer-Regional-Bytes","InterZone-In",,"N","$0.010 per GB - regional data transfer - in/out/between EC2 AZs or using IPs or ELB","2013-09-01 00:00:00","2013-09-01 01:00:00","0.01813286","0.0100000000","0.00018132","i-cc46e1f1"
